HowlWater +Hidden, HardRock, DoubleTime, NightCore on 1/2/2016 11:54:01 PM
Count 300: 258
Count 100: 93
Count 50: 9
Count Geki: 15
Count Katu: 40
Count Miss: 0
Total Score: 4692634
Max Combo: 526
Is fullcombo: False
Mods: Hidden, HardRock, DoubleTime, NightCore
0(0): (76.15625,159.1489) None 0
11527(27): (211.3125,138.187) K2 5.27480108365103
11551(24): (208.1875,137.5571) K2 3.18785140497698
11558(7): (206.2604,137.5571) M1, K2 1.92709350585938
11575(17): (203.6563,139.2637) M1, K2 3.11350122154647
11602(27): (198.3698,147.6426) M1, K2 9.90721384484061
11626(24): (197.0417,154.4102) M1, K2 6.89669208340764
11650(24): (197.2109,163.397) M1, K2 8.98839391095757
11677(27): (198.7083,168.8535) M1, K2 5.65822769600988
11687(10): (199.3854,169.769) K2 1.13868815656198
11701(14): (199.9583,170.2817) K2 0.768804819835381
11725(24): (206.599,176.2656) K2 8.93901541290778
11752(27): (210.6484,181.0923) K2 6.30038054233615
11776(24): (212.6797,184.0146) K2 3.55893424336721
11800(24): (214.5677,186.688) K2 3.27286084383173
11828(28): (216.5078,190.665) K2 4.42497594870699
11851(23): (216.625,192.4155) K2 1.75442273422259
11875(24): (216.8073,193.9463) K2 1.54162371973049
11902(27): (217.6146,195.4185) K2 1.6790165068985
11926(24): (218.4609,196.627) K2 1.47536751666163
11950(24): (219.8932,198.5093) K2 2.36527029447466
11977(27): (220.6615,199.4907) K2 1.24637580584132
12001(24): (221.0651,200.0913) K2 0.723596827452698
12018(17): (221.1563,200.5601) None 0.477599781999088
12025(7): (220.9609,200.6479) None 0.214208911789655
12052(27): (218.6823,200.8018) None 2.28380161858125
12074(22): (213.8646,200.2231) None 4.85233591806139
12099(25): (197.3281,196.2461) None 17.0080089593407
12127(28): (170.0234,184.8862) None 29.57352103814
12151(24): (150.8828,171.3071) None 23.4681686654504
12175(24): (134.9583,150.4844) None 26.2140081464592
12200(25): (133.3307,144.4126) None 6.28616838102899
12226(26): (132.5625,142.2446) K2 2.30007778199507
12249(23): (131.9635,142.3325) K2 0.60541496057152
12277(28): (134.5156,151.3047) K2 9.32810414504031
12301(24): (138.7604,159.2368) K2 8.99647785871797
12309(8): (142.3542,164.3345) None 6.23714149525748
12325(16): (149.3333,172.4204) None 10.6812648310923
12352(27): (165.7786,189.2002) None 23.4948824921583
12375(23): (180.3229,202.6548) None 19.8132126662
12400(25): (215.3229,226.9126) None 42.584512759872
12427(27): (235.0234,238.6313) None 22.9224289325926
12451(24): (247.3021,245.9409) None 14.2897308244741
12475(24): (259.6458,252.5254) None 13.9901069583786
12502(27): (270.6745,257.3228) None 12.0269306183398
12526(24): (274.1641,258.3848) None 3.64761112343111
12550(24): (276.1432,258.4946) None 1.98213908922149
12578(28): (276.1823,258.1138) None 0.382802856090284
12599(21): (275.5573,257.8062) None 0.696587797419412
12625(26): (272.9662,257.8794) None 2.59215870985538
12652(27): (271.1823,258.7876) None 2.00175952347418
12676(24): (270.1146,259.8716) None 1.5215489131427
12699(23): (268.8516,261.5781) None 2.12302869106391
12727(28): (266.9505,262.3398) None 2.04801568818453
12752(25): (266.5338,261.3657) None 1.05949986834534
12766(14): (266.2083,260.0474) K2 1.35788846401541
12775(9): (265.2448,257.916) K2 2.33906757953655
12802(27): (262.0417,252.1665) K2 6.58153050955884
12826(24): (259.6068,246.1021) K2 6.5349563987516
12851(25): (257.5104,227.7329) K2 18.4884418942849
12859(8): (257.5755,223.2651) None 4.46826286858344
